epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,560.767,0.99413,0.6972,1.11024,0,0,0,0,0,0,0,0.00333165,0.00333165,0.00333165
2,1062.85,0.97537,0.65474,1.09427,0,0,0,0,0,0,0,0.00653302,0.00653302,0.00653302
3,1517.08,1.01781,0.70399,1.11561,0,0,0,0,0,0,0,0.00960238,0.00960238,0.00960238
4,1965.79,1.07106,0.75203,1.14825,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
5,2414.19,1.03384,0.69777,1.12742,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
6,2862.57,1.01078,0.65987,1.1137,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
7,3310.83,0.98999,0.63294,1.09931,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
8,3758.77,0.97295,0.60783,1.09072,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
9,4207.04,0.95922,0.58907,1.08332,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
10,4656.19,0.94757,0.58032,1.08075,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
11,5104.71,0.9341,0.56294,1.06887,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
12,5554.39,0.925,0.55405,1.06746,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
13,6003.1,0.92075,0.54407,1.06347,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
14,6451.45,0.91154,0.53319,1.05959,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
15,6899.7,0.90459,0.52483,1.055,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
16,7347.63,0.89847,0.51822,1.05162,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
17,7795.64,0.88894,0.51132,1.04513,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
18,8243.66,0.88288,0.50269,1.03937,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
19,8691.63,0.87794,0.4954,1.03918,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
20,9139.55,0.87378,0.48913,1.03929,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
21,9587.5,0.86896,0.48683,1.03467,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
22,10035.5,0.86236,0.47929,1.03193,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
23,10483.5,0.85786,0.47351,1.02893,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
24,10931.4,0.85327,0.47228,1.02718,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
25,11379.4,0.84935,0.4634,1.02661,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
26,11827.4,0.83846,0.45577,1.02081,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
27,12275.4,0.83271,0.45249,1.0168,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
28,12723.3,0.83358,0.45006,1.01862,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
29,13171.3,0.83246,0.44612,1.01916,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
30,13619.3,0.83125,0.44387,1.01855,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
31,14067.2,0.82129,0.43703,1.01499,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
32,14515.6,0.81909,0.43272,1.01312,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
33,14964.8,0.80909,0.42669,1.00562,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
34,15415.2,0.8034,0.42321,1.00507,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
35,15865.2,0.80333,0.41734,1.00565,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
36,16315.5,0.7945,0.41062,1.0004,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
37,16766,0.78882,0.40623,0.99819,0,0,0,0,0,0,0,0.002872,0.002872,0.002872
38,17216,0.79043,0.40584,1.0001,0,0,0,0,0,0,0,0.002674,0.002674,0.002674
39,17666.6,0.77617,0.39609,0.99247,0,0,0,0,0,0,0,0.002476,0.002476,0.002476
40,18116.8,0.7771,0.39256,0.99224,0,0,0,0,0,0,0,0.002278,0.002278,0.002278
41,18564.2,0.71181,0.32447,0.96105,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
42,19010.1,0.70521,0.31714,0.9579,0,0,0,0,0,0,0,0.001882,0.001882,0.001882
43,19456,0.694,0.30854,0.95293,0,0,0,0,0,0,0,0.001684,0.001684,0.001684
44,19901.6,0.68762,0.30523,0.94963,0,0,0,0,0,0,0,0.001486,0.001486,0.001486
45,20347.7,0.67751,0.29776,0.94519,0,0,0,0,0,0,0,0.001288,0.001288,0.001288
46,20794.4,0.67046,0.29209,0.94084,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
47,21241,0.66362,0.28659,0.93562,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
48,21687.2,0.6562,0.28098,0.93347,0,0,0,0,0,0,0,0.000694,0.000694,0.000694
49,22133.6,0.64519,0.27569,0.92754,0,0,0,0,0,0,0,0.000496,0.000496,0.000496
